Ticks,houses_avg_endoftick,houses_at_setup,links_avg,links_med,links_max,links_min,buyout_ratio_avg,buyout_ratio_med,buyout_ratio_max,buyout_ratio_min,holdout_ratio_avg,holdout_ratio_med,holdout_ratio_min,holdout_ratio_max,successes_avg,fail_rate,pct_houses_bought,buyout_roc
0,1077.7692307692307,1080,179.01923076923077,179,182,176,1.2211887307692308,1.110922,2.39299,0.556764,1,1,1,1,2.3653846153846154,0.7307692307692308,0.9979344729344729,0.9186647028338324
1,1074.122807017544,1080,180.01754385964912,182,184,176,1.1218629824561404,1.092694,1.625936,0.522175,1,1,1,1,6,0.7543859649122807,0.9945581546458739,1.1581434136398443
2,1070.4827586206898,1080,178.55172413793105,179,183,175,1.299278224137931,1.12748,3.711629,0.432601,1,1,1,1,9.655172413793103,0.7241379310344828,0.9911877394636016,0.9193566323518797
3,1066.8947368421052,1080,176.47368421052633,177,179,175,1.194500052631579,1.043065,2.459859,0.526885,1,1,1,1,13.228070175438596,0.7719298245614035,0.9878654970760233,0.9981456236634741
4,1064.2592592592594,1080,175.40740740740742,175,177,174,1.192285,1.0946215000000001,2.433234,0.524625,1,1,1,1,15.814814814814815,0.8518518518518519,0.9854252400548698,0.9886744963912357
5,1061.298245614035,1080,173.82456140350877,174,175,173,1.1787817719298246,1.164141,2.254887,0.520543,1,1,1,1,18.82456140350877,0.736842105263158,0.9826835607537362,1.08285687851304
6,1057.3166666666666,1080,173.3,173,174,172,1.27645195,1.1951580000000002,2.532616,0.559376,1,1,1,1,22.85,0.6666666666666667,0.9789969135802469,0.8522594496123699
7,1053.9272727272728,1080,172.27272727272728,172,173,171,1.0878682363636363,1.043912,1.732515,0.546707,1,1,1,1,26.163636363636364,0.8181818181818181,0.9758585858585859,1.0768086220325652
8,1050.155172413793,1080,171.1206896551724,171.5,173,170,1.1714258965517241,1.0792515,2.824537,0.477987,1,1,1,1,29.982758620689655,0.7413793103448276,0.9723659003831416,1.1076415671639748
9,1045.1587301587301,1080,171.04761904761904,170,174,168,1.2975200158730158,1.238654,2.919825,0.524302,1,1,1,1,35.04761904761905,0.5873015873015873,0.9677395649617871,0.9294265242660742
10,1040.462962962963,1080,170.66666666666666,169,174,166,1.2059495185185185,1.0984785000000001,2.772251,0.612768,1,1,1,1,39.611111111111114,0.8333333333333334,0.963391632373114,0.965972196206938
11,1036.5245901639344,1080,168.21311475409837,170,173,163,1.1649137049180327,1.047938,2.024672,0.642481,1,1,1,1,43.65573770491803,0.639344262295082,0.9597449908925318,0.9755729883375869
12,1031.4098360655737,1080,165.7704918032787,166,170,163,1.136458344262295,1.121482,2.203547,0.463387,1,1,1,1,48.77049180327869,0.639344262295082,0.9550091074681238,1.064118823863863
13,1026.1166666666666,1080,165.15,163,168,162,1.2093267166666666,1.132817,2.234546,0.389116,1,1,1,1,54.05,0.6666666666666667,0.9501080246913579,0.9253031680219611
14,1021.9649122807018,1080,164.94736842105263,162,168,162,1.1189938421052632,1.033479,3.475519,0.479964,1,1,1,1,58.1578947368421,0.7543859649122807,0.9462638076673164,1.0677371629650434
15,1018.4137931034483,1080,164.8793103448276,164.5,169,160,1.1947913103448276,1.149457,2.101,0.50621,1,1,1,1,61.724137931034484,0.7241379310344828,0.9429757343550447,0.862270826703415
16,1015.4181818181818,1080,164.27272727272728,169,169,159,1.030233690909091,0.928635,1.902574,0.469165,1,1,1,1,64.67272727272727,0.8181818181818181,0.94020202020202015,1.1062152953482003
17,1010.85,1080,163.83333333333334,168,170,158,1.1396602666666666,1.018953,2.057013,0.625629,1,1,1,1,69.31666666666666,0.6666666666666667,0.9359722222222222,1.078714812362461
18,1007.1785714285714,1080,162.83928571428572,158,169,157,1.2293684107142857,1.084455,3.491197,0.441516,1,1,1,1,72.92857142857143,0.7857142857142857,0.9325727513227513,1.0149831827630043
19,1002.9180327868852,1080,162.72131147540983,158,169,157,1.247788262295082,1.181821,2.599431,0.581254,1,1,1,1,77.26229508196721,0.639344262295082,0.9286278081360048,0.9914458227407997
20,996.0952380952381,1080,161.04761904761904,158,167,157,1.2371144603174604,1.12085,2.326729,0.544317,1,1,1,1,84.11111111111111,0.6031746031746033,0.922310405643739,0.963972679357077
21,991.327868852459,1080,160.11475409836066,160,163,158,1.1925445409836066,1.138976,1.972771,0.588896,1,1,1,1,88.85245901639344,0.6229508196721312,0.9178961748633879,0.9422832706650666
22,985.2622950819672,1080,159.52459016393442,161,161,158,1.1237147704918033,1.025247,2.613923,0.442435,1,1,1,1,94.91803278688525,0.6557377049180328,0.9122799028536733,0.9975742369847951
23,979.1746031746031,1080,160,160,161,158,1.1209889047619048,0.949557,2.286998,0.513469,1,1,1,1,101.03174603174604,0.5873015873015873,0.9066431510875955,0.9992477012471525
24,974.2068965517242,1080,160.27586206896552,160,161,159,1.1201455862068965,1.0790134999999998,1.926456,0.550938,1,1,1,1,105.93103448275862,0.7068965517241379,0.9020434227330779,1.1047864211329017
25,969.2166666666667,1080,158.6,158.5,161,156,1.2375216333333334,1.269204,1.942852,0.491362,1,1,1,1,110.95,0.6666666666666667,0.8974228395061729,0.8748896739597075
26,964.5084745762712,1080,157.96610169491527,157,161,156,1.0826948983050848,1.05067,2.389631,0.448272,1,1,1,1,115.64406779661017,0.6949152542372881,0.8930634023854362,1.1014116548695447
27,960.5084745762712,1080,156.96610169491527,156,159,155,1.192492779661017,1.13999,3.205385,0.530073,1,1,1,1,119.64406779661017,0.6949152542372881,0.8893596986817326,0.9437431456957643
28,955.0645161290323,1080,157.29032258064515,156,159,155,1.1254068870967742,0.985996,2.605516,0.621705,1,1,1,1,125.12903225806451,0.6129032258064516,0.8843189964157706,0.9390423465989115
29,950.5172413793103,1080,157.56896551724137,156,160,155,1.056804724137931,1.001262,1.922778,0.476167,1,1,1,1,129.6206896551724,0.7586206896551724,0.8801085568326947,1.0989038423131157
30,946.3508771929825,1080,156.9298245614035,154,161,152,1.1613267719298246,1.029903,2.41838,0.546085,1,1,1,1,133.7719298245614,0.7192982456140351,0.8762508122157245,0.9688989463701769
31,941.7619047619048,1080,156.04761904761904,152,161,151,1.1252082857142858,1.072488,2.40291,0.511207,1,1,1,1,138.44444444444446,0.6031746031746033,0.8720017636684304,1.1076238489186956
32,934.483870967742,1080,152.96774193548387,150,160,147,1.2463075322580646,1.2204935,2.146843,0.479017,1,1,1,1,145.70967741935485,0.5967741935483871,0.8652628434886499,0.9924606508430102
33,927.5538461538462,1080,151.75384615384615,149,157,147,1.2369111846153846,1.259988,2.182711,0.595389,1,1,1,1,152.6769230769231,0.5538461538461539,0.8588461538461538,0.9408219710713138
34,921.640625,1080,150.96875,152,155,148,1.16371321875,1.0993435,2.659704,0.567297,1,1,1,1,158.578125,0.5625,0.8533709490740741,1.087548185934878
35,912.6153846153846,1080,150.16923076923078,150,153,146,1.2655942,1.137043,2.858116,0.595631,1,1,1,1,167.6153846153846,0.523076923076923,0.845014245014245,0.9270079030046325
36,907.2539682539683,1080,149.73015873015873,147,154,147,1.1732158253968255,1.067216,3.054364,0.612033,1,1,1,1,172.95238095238096,0.5873015873015873,0.8400499706055262,0.9409034988311938
37,900.3125,1080,149,149,151,147,1.103882875,0.961886,2.485908,0.496206,1,1,1,1,179.90625,0.59375,0.8336226851851852,1.0299850948338225
